ident,latitude_deg,longitude_deg,iata_code
SSGG,-25.388056,-51.521667,GPB
SBGR,-23.431274,-46.469954,GRU
SBGL,-22.809999,-43.250557,GIG
SBSP,-23.627657,-46.654601,CGH
SBRJ,-22.910397,-43.16282,SDU
SBBR,-15.869167,-47.920834,BSB
SBSV,-12.908611,-38.322498,SSA
SBPA,-29.993984,-51.167482,POA
SBKP,-23.007404,-47.134502,VCP
SBFI,-25.594167,-54.489444,IGU
SBVC,-14.907778,-40.914722,VDC
SBRF,-8.12747,-34.922961,REC
SBFZ,-3.775833,-38.532222,FOR
SBCT,-25.5285,-49.1758,CWB
SBCF,-19.63571,-43.966928,CNF
SBEG,-3.03861,-60.049702,MAO
SBFL,-27.670279,-48.552502,FLN
SBCG,-20.469998,-54.673988,CGR
SBBE,-1.379279,-48.476207,BEL
SBSG,-5.769822,-35.36661,NAT
SBLO,-23.334375,-51.128365,LDB
SBGO,-16.632,-49.220699,GYN
SBVT,-20.258,-40.285,VIX
SBCY,-15.6529,-56.116699,CGB
SBRP,-21.134314,-47.774053,RAO
SBPS,-16.438426,-39.080584,BPS
SBBH,-19.85074,-43.950316,PLU
SBSL,-2.586386,-44.235008,SLZ
SDAM,-22.859866,-47.107573,
SBSR,-20.817113,-49.406963,SJP
SBNF,-26.879431,-48.650979,NVT
SBNT,-5.91142,-35.2477,
SBSJ,-23.2292,-45.8615,SJK
SBBI,-25.4051,-49.231998,BFH
SBJD,-23.180861,-46.943921,QDV
SBFN,-3.854534,-32.423017,FEN
SBJV,-26.224501,-48.797401,JOI
SBMG,-23.47606,-52.016187,MGF
SBJR,-22.986773,-43.372194,RRJ
SBMT,-23.5091,-46.637798,RTE
SBPJ,-10.2915,-48.356998,PMW
SBDN,-22.1751,-51.424599,PPB
SBBV,2.84615,-60.690648,BVB
SBMO,-9.512559,-35.791839,MCZ
SBAQ,-21.812,-48.132999,AQA
SBUL,-18.883579,-48.225936,UDI
SDAI,-22.755917,-47.269408,
SBAU,-21.141479,-50.424575,ARU
SBCX,-29.197183,-51.187647,CXJ
SBML,-22.196899,-49.926485,MII
