icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAC,Verao,00-06,exato,TS,0,0,,0,0,
SBAC,Verao,00-06,exato,+RA,0,0,,0,0,
SBAC,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBAC,Verao,00-06,exato,TSRA,0,0,,0,0,
SBAC,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBAC,Verao,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAC,Verao,06-12,exato,TS,0,0,,0,0,
SBAC,Verao,06-12,exato,+RA,0,0,,0,0,
SBAC,Verao,06-12,exato,+TSRA,0,0,,0,0,
SBAC,Verao,06-12,exato,TSRA,0,0,,0,0,
SBAC,Verao,06-12,sem_intensidade,TS,0,0,,0,0,
SBAC,Verao,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Verao,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAC,Verao,12-18,exato,TS,0,0,,0,0,
SBAC,Verao,12-18,exato,+RA,0,0,,0,0,
SBAC,Verao,12-18,exato,+TSRA,0,0,,0,0,
SBAC,Verao,12-18,exato,TSRA,0,0,,0,0,
SBAC,Verao,12-18,sem_intensidade,TS,0,0,,0,0,
SBAC,Verao,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Verao,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAC,Verao,18-24,exato,TS,0,0,,0,0,
SBAC,Verao,18-24,exato,+RA,0,0,,0,0,
SBAC,Verao,18-24,exato,+TSRA,0,0,,0,0,
SBAC,Verao,18-24,exato,TSRA,0,0,,0,0,
SBAC,Verao,18-24,sem_intensidade,TS,0,0,,0,0,
SBAC,Verao,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Verao,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAC,Verao,TODOS,exato,TS,0,0,,0,0,
SBAC,Verao,TODOS,exato,+RA,0,0,,0,0,
SBAC,Verao,TODOS,exato,+TSRA,0,0,,0,0,
SBAC,Verao,TODOS,exato,TSRA,0,0,,0,0,
SBAC,Verao,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAC,Verao,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Verao,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAC,Outono,00-06,exato,TS,0,0,,0,0,
SBAC,Outono,00-06,exato,+RA,0,0,,0,0,
SBAC,Outono,00-06,exato,+TSRA,0,0,,0,0,
SBAC,Outono,00-06,exato,TSRA,0,0,,0,0,
SBAC,Outono,00-06,sem_intensidade,TS,0,0,,0,0,
SBAC,Outono,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Outono,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAC,Outono,06-12,exato,TS,0,0,,0,0,
SBAC,Outono,06-12,exato,+RA,0,0,,0,0,
SBAC,Outono,06-12,exato,+TSRA,0,0,,0,0,
SBAC,Outono,06-12,exato,TSRA,0,0,,0,0,
SBAC,Outono,06-12,sem_intensidade,TS,0,0,,0,0,
SBAC,Outono,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Outono,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAC,Outono,12-18,exato,TS,0,0,,0,0,
SBAC,Outono,12-18,exato,+RA,0,0,,0,0,
SBAC,Outono,12-18,exato,+TSRA,0,0,,0,0,
SBAC,Outono,12-18,exato,TSRA,0,0,,0,0,
SBAC,Outono,12-18,sem_intensidade,TS,0,0,,0,0,
SBAC,Outono,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Outono,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAC,Outono,18-24,exato,TS,0,0,,0,0,
SBAC,Outono,18-24,exato,+RA,0,0,,0,0,
SBAC,Outono,18-24,exato,+TSRA,0,0,,0,0,
SBAC,Outono,18-24,exato,TSRA,0,0,,0,0,
SBAC,Outono,18-24,sem_intensidade,TS,0,0,,0,0,
SBAC,Outono,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Outono,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAC,Outono,TODOS,exato,TS,0,0,,0,0,
SBAC,Outono,TODOS,exato,+RA,0,0,,0,0,
SBAC,Outono,TODOS,exato,+TSRA,0,0,,0,0,
SBAC,Outono,TODOS,exato,TSRA,0,0,,0,0,
SBAC,Outono,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAC,Outono,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Outono,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAC,Inverno,00-06,exato,TS,0,0,,0,0,
SBAC,Inverno,00-06,exato,+RA,0,0,,0,0,
SBAC,Inverno,00-06,exato,+TSRA,0,0,,0,0,
SBAC,Inverno,00-06,exato,TSRA,0,0,,0,0,
SBAC,Inverno,00-06,sem_intensidade,TS,0,0,,0,0,
SBAC,Inverno,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Inverno,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAC,Inverno,06-12,exato,TS,0,0,,0,0,
SBAC,Inverno,06-12,exato,+RA,0,0,,0,0,
SBAC,Inverno,06-12,exato,+TSRA,0,0,,0,0,
SBAC,Inverno,06-12,exato,TSRA,0,0,,0,0,
SBAC,Inverno,06-12,sem_intensidade,TS,0,0,,0,0,
SBAC,Inverno,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Inverno,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAC,Inverno,12-18,exato,TS,0,0,,0,0,
SBAC,Inverno,12-18,exato,+RA,0,0,,0,0,
SBAC,Inverno,12-18,exato,+TSRA,0,0,,0,0,
SBAC,Inverno,12-18,exato,TSRA,0,0,,0,0,
SBAC,Inverno,12-18,sem_intensidade,TS,0,0,,0,0,
SBAC,Inverno,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Inverno,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAC,Inverno,18-24,exato,TS,0,0,,0,0,
SBAC,Inverno,18-24,exato,+RA,0,0,,0,0,
SBAC,Inverno,18-24,exato,+TSRA,0,0,,0,0,
SBAC,Inverno,18-24,exato,TSRA,0,0,,0,0,
SBAC,Inverno,18-24,sem_intensidade,TS,0,0,,0,0,
SBAC,Inverno,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Inverno,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAC,Inverno,TODOS,exato,TS,0,0,,0,0,
