icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAE,Verao,00-06,exato,TS,0,0,,0,0,
SBAE,Verao,00-06,exato,+RA,0,0,,0,0,
SBAE,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBAE,Verao,00-06,exato,TSRA,0,0,,0,0,
SBAE,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBAE,Verao,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAE,Verao,06-12,exato,TS,0,0,,0,0,
SBAE,Verao,06-12,exato,+RA,0,0,,0,0,
SBAE,Verao,06-12,exato,+TSRA,0,0,,0,0,
SBAE,Verao,06-12,exato,TSRA,0,0,,0,0,
SBAE,Verao,06-12,sem_intensidade,TS,0,0,,0,0,
SBAE,Verao,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Verao,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAE,Verao,12-18,exato,TS,0,0,,0,0,
SBAE,Verao,12-18,exato,+RA,0,0,,0,0,
SBAE,Verao,12-18,exato,+TSRA,0,0,,0,0,
SBAE,Verao,12-18,exato,TSRA,0,0,,0,0,
SBAE,Verao,12-18,sem_intensidade,TS,0,0,,0,0,
SBAE,Verao,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Verao,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAE,Verao,18-24,exato,TS,5,0,0.0,0,0,
SBAE,Verao,18-24,exato,+RA,0,0,,0,0,
SBAE,Verao,18-24,exato,+TSRA,0,0,,0,0,
SBAE,Verao,18-24,exato,TSRA,23,0,0.0,0,0,
SBAE,Verao,18-24,sem_intensidade,TS,5,0,0.0,0,0,
SBAE,Verao,18-24,sem_intensidade,TSRA,23,0,0.0,0,0,
SBAE,Verao,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAE,Verao,TODOS,exato,TS,5,0,0.0,0,0,
SBAE,Verao,TODOS,exato,+RA,0,0,,0,0,
SBAE,Verao,TODOS,exato,+TSRA,0,0,,0,0,
SBAE,Verao,TODOS,exato,TSRA,23,0,0.0,0,0,
