fenomeno_previsto,voos,confirmado_exato,confirmado_base,metar_nsw,pct_exato,pct_base,pct_nsw
BR,8031,1134,1134,5644,14.1,14.1,70.3
TSRA,5211,134,462,3155,2.6,8.9,60.5
RA,4435,177,1098,2670,4.0,24.8,60.2
DZ,1764,11,25,1256,0.6,1.4,71.2
-RA,1575,291,324,947,18.5,20.6,60.1
TS,1450,62,62,1049,4.3,4.3,72.3
SHRA,1182,2,25,822,0.2,2.1,69.5
FG,525,84,84,327,16.0,16.0,62.3
RADZ,303,0,0,161,0.0,0.0,53.1
-TSRA,238,13,24,152,5.5,10.1,63.9
VCSH,207,35,35,140,16.9,16.9,67.6
-DZ,172,33,35,108,19.2,20.3,62.8
+TSRA,72,0,13,33,0.0,18.1,45.8
VCTS,46,5,5,32,10.9,10.9,69.6
HZ,39,0,0,39,0.0,0.0,100.0
-RADZ,35,9,9,7,25.7,25.7,20.0
BCFG,23,0,0,17,0.0,0.0,73.9
+RA,22,0,22,0,0.0,100.0,0.0
-SHRA,7,0,0,0,0.0,0.0,0.0
