fenomeno_previsto,voos,confirmado_exato,confirmado_base,metar_nsw,pct_exato,pct_base,pct_nsw
TSRA,5069,58,292,3292,1.1,5.8,64.9
RA,4271,220,1255,2697,5.2,29.4,63.1
BR,3588,305,305,2388,8.5,8.5,66.6
SHRA,1573,4,12,1161,0.3,0.8,73.8
TS,1275,35,35,898,2.7,2.7,70.4
DZ,639,0,14,446,0.0,2.2,69.8
-RA,434,138,142,237,31.8,32.7,54.6
VCSH,406,43,43,320,10.6,10.6,78.8
VCTS,149,2,2,108,1.3,1.3,72.5
FG,92,35,35,38,38.0,38.0,41.3
RADZ,80,0,1,57,0.0,1.2,71.2
BCFG,37,1,1,36,2.7,2.7,97.3
-DZ,35,1,1,16,2.9,2.9,45.7
-TSRA,20,1,1,8,5.0,5.0,40.0
FU,2,0,0,2,0.0,0.0,100.0
+RA,1,0,1,0,0.0,100.0,0.0
-RADZ,1,0,0,1,0.0,0.0,100.0
+TSRA,1,0,0,0,0.0,0.0,0.0
