icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBAC,Verao,00-06,0,0,0,0,
SBAC,Verao,06-12,0,0,0,0,
SBAC,Verao,12-18,0,0,0,0,
SBAC,Verao,18-24,0,0,0,0,
SBAC,Verao,TODOS,0,0,0,0,
SBAC,Outono,00-06,0,0,0,0,
SBAC,Outono,06-12,0,0,0,0,
SBAC,Outono,12-18,0,0,0,0,
SBAC,Outono,18-24,0,0,0,0,
SBAC,Outono,TODOS,0,0,0,0,
SBAC,Inverno,00-06,0,0,0,0,
SBAC,Inverno,06-12,0,0,0,0,
SBAC,Inverno,12-18,0,0,0,0,
SBAC,Inverno,18-24,0,0,0,0,
SBAC,Inverno,TODOS,0,0,0,0,
SBAC,Primavera,00-06,0,0,0,0,
SBAC,Primavera,06-12,0,0,0,0,
SBAC,Primavera,12-18,0,0,0,0,
SBAC,Primavera,18-24,0,0,0,0,
SBAC,Primavera,TODOS,0,0,0,0,
SBAC,TODAS,00-06,0,0,0,0,
SBAC,TODAS,06-12,0,0,0,0,
SBAC,TODAS,12-18,0,0,0,0,
SBAC,TODAS,18-24,0,0,0,0,
SBAC,TODAS,TODOS,0,0,0,0,
SBAQ,Verao,00-06,0,0,0,0,
SBAQ,Verao,06-12,0,0,0,0,
SBAQ,Verao,12-18,0,0,0,0,
SBAQ,Verao,18-24,0,0,0,0,
SBAQ,Verao,TODOS,0,0,0,0,
SBAQ,Outono,00-06,0,0,0,0,
SBAQ,Outono,06-12,0,0,0,0,
SBAQ,Outono,12-18,0,0,0,0,
SBAQ,Outono,18-24,0,0,0,0,
SBAQ,Outono,TODOS,0,0,0,0,
SBAQ,Inverno,00-06,0,0,0,0,
SBAQ,Inverno,06-12,0,0,0,0,
SBAQ,Inverno,12-18,0,0,0,0,
SBAQ,Inverno,18-24,0,0,0,0,
SBAQ,Inverno,TODOS,0,0,0,0,
SBAQ,Primavera,00-06,0,0,0,0,
SBAQ,Primavera,06-12,0,0,0,0,
SBAQ,Primavera,12-18,0,0,0,0,
SBAQ,Primavera,18-24,0,0,0,0,
SBAQ,Primavera,TODOS,0,0,0,0,
SBAQ,TODAS,00-06,0,0,0,0,
SBAQ,TODAS,06-12,0,0,0,0,
SBAQ,TODAS,12-18,0,0,0,0,
SBAQ,TODAS,18-24,0,0,0,0,
SBAQ,TODAS,TODOS,0,0,0,0,
SBAT,Verao,00-06,0,0,0,0,
SBAT,Verao,06-12,0,0,0,0,
SBAT,Verao,12-18,144,97,17,30,67.4
SBAT,Verao,18-24,0,0,0,0,
SBAT,Verao,TODOS,144,97,17,30,67.4
SBAT,Outono,00-06,0,0,0,0,
SBAT,Outono,06-12,0,0,0,0,
SBAT,Outono,12-18,150,130,3,17,86.7
SBAT,Outono,18-24,1,0,1,0,0.0
SBAT,Outono,TODOS,151,130,4,17,86.1
SBAT,Inverno,00-06,1,1,0,0,100.0
SBAT,Inverno,06-12,0,0,0,0,
SBAT,Inverno,12-18,120,118,1,1,98.3
SBAT,Inverno,18-24,52,47,5,0,90.4
SBAT,Inverno,TODOS,173,166,6,1,96.0
SBAT,Primavera,00-06,0,0,0,0,
SBAT,Primavera,06-12,0,0,0,0,
SBAT,Primavera,12-18,125,97,15,13,77.6
SBAT,Primavera,18-24,44,28,15,1,63.6
SBAT,Primavera,TODOS,169,125,30,14,74.0
SBAT,TODAS,00-06,1,1,0,0,100.0
SBAT,TODAS,06-12,0,0,0,0,
SBAT,TODAS,12-18,539,442,36,61,82.0
SBAT,TODAS,18-24,97,75,21,1,77.3
SBAT,TODAS,TODOS,637,518,57,62,81.3
SBAU,Verao,00-06,97,84,7,6,86.6
SBAU,Verao,06-12,45,42,0,3,93.3
SBAU,Verao,12-18,233,207,14,12,88.8
SBAU,Verao,18-24,280,220,43,17,78.6
SBAU,Verao,TODOS,655,553,64,38,84.4
SBAU,Outono,00-06,90,85,0,5,94.4
SBAU,Outono,06-12,15,15,0,0,100.0
SBAU,Outono,12-18,239,222,8,9,92.9
SBAU,Outono,18-24,260,250,4,6,96.2
SBAU,Outono,TODOS,604,572,12,20,94.7
SBAU,Inverno,00-06,149,146,2,1,98.0
SBAU,Inverno,06-12,38,38,0,0,100.0
SBAU,Inverno,12-18,274,268,1,5,97.8
SBAU,Inverno,18-24,309,303,2,4,98.1
SBAU,Inverno,TODOS,770,755,5,10,98.1
SBAU,Primavera,00-06,113,103,5,5,91.2
SBAU,Primavera,06-12,33,26,6,1,78.8
SBAU,Primavera,12-18,259,227,12,20,87.6
SBAU,Primavera,18-24,274,240,25,9,87.6
SBAU,Primavera,TODOS,679,596,48,35,87.8
SBAU,TODAS,00-06,449,418,14,17,93.1
SBAU,TODAS,06-12,131,121,6,4,92.4
SBAU,TODAS,12-18,1005,924,35,46,91.9
SBAU,TODAS,18-24,1123,1013,74,36,90.2
SBAU,TODAS,TODOS,2708,2476,129,103,91.4
SBAX,Verao,00-06,0,0,0,0,
SBAX,Verao,06-12,0,0,0,0,
SBAX,Verao,12-18,0,0,0,0,
SBAX,Verao,18-24,0,0,0,0,
SBAX,Verao,TODOS,0,0,0,0,
SBAX,Outono,00-06,0,0,0,0,
SBAX,Outono,06-12,0,0,0,0,
SBAX,Outono,12-18,0,0,0,0,
SBAX,Outono,18-24,0,0,0,0,
SBAX,Outono,TODOS,0,0,0,0,
SBAX,Inverno,00-06,0,0,0,0,
SBAX,Inverno,06-12,0,0,0,0,
SBAX,Inverno,12-18,0,0,0,0,
SBAX,Inverno,18-24,0,0,0,0,
SBAX,Inverno,TODOS,0,0,0,0,
SBAX,Primavera,00-06,0,0,0,0,
SBAX,Primavera,06-12,0,0,0,0,
SBAX,Primavera,12-18,0,0,0,0,
SBAX,Primavera,18-24,0,0,0,0,
SBAX,Primavera,TODOS,0,0,0,0,
SBAX,TODAS,00-06,0,0,0,0,
SBAX,TODAS,06-12,0,0,0,0,
SBAX,TODAS,12-18,0,0,0,0,
SBAX,TODAS,18-24,0,0,0,0,
SBAX,TODAS,TODOS,0,0,0,0,
SBBE,Verao,00-06,0,0,0,0,
SBBE,Verao,06-12,18,15,2,1,83.3
