icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBAE,Verao,00-06,21,18,2,1,85.7
SBAE,Verao,06-12,19,19,0,0,100.0
SBAE,Verao,12-18,40,38,1,1,95.0
SBAE,Verao,18-24,142,108,28,6,76.1
SBAE,Verao,TODOS,222,183,31,8,82.4
SBAE,Outono,00-06,13,10,2,1,76.9
SBAE,Outono,06-12,0,0,0,0,
SBAE,Outono,12-18,31,30,0,1,96.8
SBAE,Outono,18-24,126,116,4,6,92.1
SBAE,Outono,TODOS,170,156,6,8,91.8
SBAE,Inverno,00-06,21,21,0,0,100.0
SBAE,Inverno,06-12,5,5,0,0,100.0
SBAE,Inverno,12-18,28,27,0,1,96.4
SBAE,Inverno,18-24,153,151,1,1,98.7
SBAE,Inverno,TODOS,207,204,1,2,98.6
SBAE,Primavera,00-06,27,27,0,0,100.0
SBAE,Primavera,06-12,2,2,0,0,100.0
SBAE,Primavera,12-18,29,23,1,5,79.3
SBAE,Primavera,18-24,132,113,17,2,85.6
SBAE,Primavera,TODOS,190,165,18,7,86.8
SBAE,TODAS,00-06,82,76,4,2,92.7
SBAE,TODAS,06-12,26,26,0,0,100.0
SBAE,TODAS,12-18,128,118,2,8,92.2
SBAE,TODAS,18-24,553,488,50,15,88.2
SBAE,TODAS,TODOS,789,708,56,25,89.7
SBAR,Verao,00-06,242,219,14,9,90.5
SBAR,Verao,06-12,117,90,14,13,76.9
SBAR,Verao,12-18,580,510,25,45,87.9
SBAR,Verao,18-24,629,582,20,27,92.5
SBAR,Verao,TODOS,1568,1401,73,94,89.3
SBAR,Outono,00-06,249,172,54,23,69.1
SBAR,Outono,06-12,65,39,22,4,60.0
SBAR,Outono,12-18,481,367,40,74,76.3
SBAR,Outono,18-24,586,469,30,87,80.0
SBAR,Outono,TODOS,1381,1047,146,188,75.8
SBAR,Inverno,00-06,272,192,55,25,70.6
SBAR,Inverno,06-12,78,48,26,4,61.5
SBAR,Inverno,12-18,524,401,50,73,76.5
SBAR,Inverno,18-24,534,425,34,75,79.6
SBAR,Inverno,TODOS,1408,1066,165,177,75.7
SBAR,Primavera,00-06,236,207,20,9,87.7
SBAR,Primavera,06-12,100,76,18,6,76.0
SBAR,Primavera,12-18,566,521,14,31,92.0
SBAR,Primavera,18-24,523,481,15,27,92.0
SBAR,Primavera,TODOS,1425,1285,67,73,90.2
SBAR,TODAS,00-06,999,790,143,66,79.1
SBAR,TODAS,06-12,360,253,80,27,70.3
SBAR,TODAS,12-18,2151,1799,129,223,83.6
SBAR,TODAS,18-24,2272,1957,99,216,86.1
SBAR,TODAS,TODOS,5782,4799,451,532,83.0
SBBH,Verao,00-06,0,0,0,0,
SBBH,Verao,06-12,0,0,0,0,
SBBH,Verao,12-18,0,0,0,0,
SBBH,Verao,18-24,0,0,0,0,
SBBH,Verao,TODOS,0,0,0,0,
SBBH,Outono,00-06,0,0,0,0,
SBBH,Outono,06-12,0,0,0,0,
SBBH,Outono,12-18,0,0,0,0,
SBBH,Outono,18-24,0,0,0,0,
SBBH,Outono,TODOS,0,0,0,0,
SBBH,Inverno,00-06,0,0,0,0,
SBBH,Inverno,06-12,0,0,0,0,
SBBH,Inverno,12-18,0,0,0,0,
SBBH,Inverno,18-24,0,0,0,0,
SBBH,Inverno,TODOS,0,0,0,0,
SBBH,Primavera,00-06,0,0,0,0,
SBBH,Primavera,06-12,0,0,0,0,
SBBH,Primavera,12-18,0,0,0,0,
SBBH,Primavera,18-24,0,0,0,0,
SBBH,Primavera,TODOS,0,0,0,0,
SBBH,TODAS,00-06,0,0,0,0,
SBBH,TODAS,06-12,0,0,0,0,
SBBH,TODAS,12-18,0,0,0,0,
SBBH,TODAS,18-24,0,0,0,0,
SBBH,TODAS,TODOS,0,0,0,0,
SBBW,Verao,00-06,0,0,0,0,
SBBW,Verao,06-12,0,0,0,0,
SBBW,Verao,12-18,0,0,0,0,
SBBW,Verao,18-24,0,0,0,0,
SBBW,Verao,TODOS,0,0,0,0,
SBBW,Outono,00-06,0,0,0,0,
SBBW,Outono,06-12,0,0,0,0,
SBBW,Outono,12-18,0,0,0,0,
SBBW,Outono,18-24,0,0,0,0,
SBBW,Outono,TODOS,0,0,0,0,
SBBW,Inverno,00-06,0,0,0,0,
SBBW,Inverno,06-12,0,0,0,0,
SBBW,Inverno,12-18,0,0,0,0,
SBBW,Inverno,18-24,0,0,0,0,
SBBW,Inverno,TODOS,0,0,0,0,
SBBW,Primavera,00-06,0,0,0,0,
SBBW,Primavera,06-12,0,0,0,0,
SBBW,Primavera,12-18,0,0,0,0,
SBBW,Primavera,18-24,0,0,0,0,
SBBW,Primavera,TODOS,0,0,0,0,
SBBW,TODAS,00-06,0,0,0,0,
SBBW,TODAS,06-12,0,0,0,0,
SBBW,TODAS,12-18,0,0,0,0,
SBBW,TODAS,18-24,0,0,0,0,
SBBW,TODAS,TODOS,0,0,0,0,
SBCJ,Verao,00-06,173,128,33,12,74.0
SBCJ,Verao,06-12,149,68,75,6,45.6
SBCJ,Verao,12-18,142,96,18,28,67.6
SBCJ,Verao,18-24,1,1,0,0,100.0
SBCJ,Verao,TODOS,465,293,126,46,63.0
SBCJ,Outono,00-06,251,232,12,7,92.4
SBCJ,Outono,06-12,118,77,36,5,65.3
SBCJ,Outono,12-18,165,149,6,10,90.3
SBCJ,Outono,18-24,3,3,0,0,100.0
SBCJ,Outono,TODOS,537,461,54,22,85.8
SBCJ,Inverno,00-06,234,226,4,4,96.6
SBCJ,Inverno,06-12,179,163,14,2,91.1
SBCJ,Inverno,12-18,133,130,1,2,97.7
SBCJ,Inverno,18-24,3,3,0,0,100.0
SBCJ,Inverno,TODOS,549,522,19,8,95.1
SBCJ,Primavera,00-06,216,199,5,12,92.1
SBCJ,Primavera,06-12,130,100,29,1,76.9
SBCJ,Primavera,12-18,139,101,15,23,72.7
SBCJ,Primavera,18-24,44,27,15,2,61.4
SBCJ,Primavera,TODOS,529,427,64,38,80.7
SBCJ,TODAS,00-06,874,785,54,35,89.8
SBCJ,TODAS,06-12,576,408,154,14,70.8
SBCJ,TODAS,12-18,579,476,40,63,82.2
SBCJ,TODAS,18-24,51,34,15,2,66.7
SBCJ,TODAS,TODOS,2080,1703,263,114,81.9
SBCP,Verao,00-06,0,0,0,0,
SBCP,Verao,06-12,0,0,0,0,
SBCP,Verao,12-18,0,0,0,0,
SBCP,Verao,18-24,0,0,0,0,
SBCP,Verao,TODOS,0,0,0,0,
SBCP,Outono,00-06,0,0,0,0,
SBCP,Outono,06-12,0,0,0,0,
SBCP,Outono,12-18,0,0,0,0,
SBCP,Outono,18-24,0,0,0,0,
SBCP,Outono,TODOS,0,0,0,0,
SBCP,Inverno,00-06,0,0,0,0,
SBCP,Inverno,06-12,0,0,0,0,
SBCP,Inverno,12-18,0,0,0,0,
SBCP,Inverno,18-24,0,0,0,0,
SBCP,Inverno,TODOS,0,0,0,0,
SBCP,Primavera,00-06,0,0,0,0,
SBCP,Primavera,06-12,0,0,0,0,
SBCP,Primavera,12-18,0,0,0,0,
SBCP,Primavera,18-24,0,0,0,0,
SBCP,Primavera,TODOS,0,0,0,0,
SBCP,TODAS,00-06,0,0,0,0,
SBCP,TODAS,06-12,0,0,0,0,
SBCP,TODAS,12-18,0,0,0,0,
SBCP,TODAS,18-24,0,0,0,0,
SBCP,TODAS,TODOS,0,0,0,0,
SBCZ,Verao,00-06,0,0,0,0,
SBCZ,Verao,06-12,0,0,0,0,
SBCZ,Verao,12-18,0,0,0,0,
SBCZ,Verao,18-24,0,0,0,0,
SBCZ,Verao,TODOS,0,0,0,0,
SBCZ,Outono,00-06,0,0,0,0,
SBCZ,Outono,06-12,0,0,0,0,
SBCZ,Outono,12-18,0,0,0,0,
SBCZ,Outono,18-24,0,0,0,0,
SBCZ,Outono,TODOS,0,0,0,0,
SBCZ,Inverno,00-06,0,0,0,0,
SBCZ,Inverno,06-12,0,0,0,0,
SBCZ,Inverno,12-18,0,0,0,0,
SBCZ,Inverno,18-24,0,0,0,0,
SBCZ,Inverno,TODOS,0,0,0,0,
SBCZ,Primavera,00-06,0,0,0,0,
SBCZ,Primavera,06-12,0,0,0,0,
