STAUTC;FlightNumber;EquipmentModel;DepartureStation;ArrivalStation;Alternado;Hora Chegada Alternado;TAF REDEMET;METAR
2025-08-20 17:55:00.000;4052;ERJ;CGB;SMT;AFL;2025-08-20 18:33:08.160;TS;NSW
2025-09-15 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-15 18:23:08.160;TS;NSW
2025-09-15 18:35:00.000;4422;ERJ;CGB;OPS;AFL;2025-09-15 19:05:00.000;TS;NSW
2025-09-19 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-19 18:23:08.160;TS;NSW
2025-09-20 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-20 18:23:08.160;TSRA;VCSH
2025-09-23 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-23 18:23:08.160;TSRA;NSW
2025-09-24 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-24 18:23:08.160;TSRA;NSW
2025-09-25 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-25 18:23:08.160;TS;NSW
2025-09-27 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-27 18:23:08.160;TS;NSW
2025-09-29 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-29 18:23:08.160;TS;NSW
2025-09-30 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-09-30 18:23:08.160;TS;NSW
2025-10-01 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-01 18:23:08.160;TS;NSW
2025-10-04 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-04 18:23:08.160;TS;NSW
2025-10-12 17:25:00.000;4422;ERJ;CGB;OPS;AFL;2025-10-12 17:55:00.000;TS;NSW
2025-10-12 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-12 18:23:08.160;TS;NSW
2025-10-14 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-14 18:23:08.160;TS;NSW
2025-10-15 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-15 18:23:08.160;TS;NSW
2025-10-20 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-20 18:23:08.160;TSRA;NSW
2025-10-22 17:25:00.000;4422;ERJ;CGB;OPS;AFL;2025-10-22 17:55:00.000;TSRA;NSW
2025-10-28 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-28 18:23:08.160;TS;NSW
2025-10-29 17:45:00.000;4052;ERJ;CGB;SMT;AFL;2025-10-29 18:23:08.160;TSRA;NSW
2025-11-11 16:20:00.000;4052;ERJ;CGB;SMT;AFL;2025-11-11 16:58:08.160;TSRA;NSW
2025-11-11 16:30:00.000;4422;ERJ;CGB;OPS;AFL;2025-11-11 17:00:00.000;TSRA;NSW
2025-11-14 16:20:00.000;4052;ERJ;CGB;SMT;AFL;2025-11-14 16:58:08.160;TS;NSW
2025-11-14 16:30:00.000;4422;ERJ;CGB;OPS;AFL;2025-11-14 17:00:00.000;TS;NSW
2025-11-25 16:30:00.000;4422;ERJ;CGB;OPS;AFL;2025-11-25 17:00:00.000;TSRA;NSW
2025-11-26 16:20:00.000;4052;ERJ;CGB;SMT;AFL;2025-11-26 16:58:08.160;TSRA;NSW
2025-11-26 16:30:00.000;4422;ERJ;CGB;OPS;AFL;2025-11-26 17:00:00.000;TSRA;NSW
2025-11-29 20:40:00.000;4554;ERJ;VCP;OPS;AFL;2025-11-29 21:10:00.000;TSRA;NSW
2025-12-16 16:10:00.000;4422;ERJ;CGB;OPS;AFL;2025-12-16 16:40:00.000;TSRA;NSW
